手动跟踪市场 API: http://127.0.0.1:8878
仅使用本机 zer0share 数据；按 Ctrl+C 停止。
127.0.0.1 - "GET /api/templates HTTP/1.1" 200 -
127.0.0.1 - "GET /api/health HTTP/1.1" 200 -
127.0.0.1 - "GET /api/templates HTTP/1.1" 200 -
127.0.0.1 - "GET /api/templates/fresh_breakout HTTP/1.1" 200 -
127.0.0.1 - "GET /api/templates/fresh_breakout/stocks?limit=3 HTTP/1.1" 200 -
127.0.0.1 - "GET /api/bars/301234?period=1d&limit=80 HTTP/1.1" 200 -
127.0.0.1 - "GET /api/health HTTP/1.1" 200 -
127.0.0.1 - "GET /api/templates HTTP/1.1" 200 -
127.0.0.1 - "GET /api/templates/fresh_breakout HTTP/1.1" 200 -
127.0.0.1 - "GET /api/templates/fresh_breakout/stocks?limit=3 HTTP/1.1" 200 -
127.0.0.1 - "GET /api/bars/301234?period=1d&limit=80 HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/templates HTTP/1.1" 204 -
127.0.0.1 - "GET /api/templates HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/templates/fresh_breakout HTTP/1.1" 204 -
127.0.0.1 - "OPTIONS /api/templates/fresh_breakout/stocks?limit=100 HTTP/1.1" 204 -
127.0.0.1 - "GET /api/templates/fresh_breakout HTTP/1.1" 200 -
127.0.0.1 - "GET /api/templates/fresh_breakout/stocks?limit=100 HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/search?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C HTTP/1.1" 204 -
127.0.0.1 - "GET /api/search?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/bars/000001?period=1d&adjust=qfq&limit=10000 HTTP/1.1" 204 -
127.0.0.1 - "OPTIONS /api/search?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C%20000001 HTTP/1.1" 204 -
127.0.0.1 - "GET /api/search?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C%20000001 HTTP/1.1" 200 -
127.0.0.1 - "GET /api/bars/000001?period=1d&adjust=qfq&limit=10000 HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/templates HTTP/1.1" 204 -
127.0.0.1 - "GET /api/templates HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/templates/fresh_breakout HTTP/1.1" 204 -
127.0.0.1 - "OPTIONS /api/templates/fresh_breakout/stocks?limit=200 HTTP/1.1" 204 -
127.0.0.1 - "GET /api/templates/fresh_breakout HTTP/1.1" 200 -
127.0.0.1 - "GET /api/templates/fresh_breakout/stocks?limit=200 HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/stock/301234 HTTP/1.1" 204 -
127.0.0.1 - "OPTIONS /api/bars/301234?period=1d&adjust=qfq&limit=10000 HTTP/1.1" 204 -
127.0.0.1 - "GET /api/stock/301234 HTTP/1.1" 200 -
127.0.0.1 - "GET /api/bars/301234?period=1d&adjust=qfq&limit=10000 HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/state HTTP/1.1" 204 -
127.0.0.1 - "OPTIONS /api/state HTTP/1.1" 204 -
127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
127.0.0.1 - "POST /api/state HTTP/1.1" 200 -
127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
127.0.0.1 - "GET /api/health HTTP/1.1" 200 -
127.0.0.1 - "GET /api/templates HTTP/1.1" 200 -
127.0.0.1 - "GET /api/templates/fresh_breakout HTTP/1.1" 200 -
127.0.0.1 - "GET /api/templates/fresh_breakout/stocks?limit=3 HTTP/1.1" 200 -
127.0.0.1 - "GET /api/bars/301234?period=1d&limit=80 HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/templates HTTP/1.1" 204 -
127.0.0.1 - "GET /api/templates HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/templates/fresh_breakout HTTP/1.1" 204 -
127.0.0.1 - "OPTIONS /api/templates/fresh_breakout/stocks?limit=100 HTTP/1.1" 204 -
127.0.0.1 - "GET /api/templates/fresh_breakout HTTP/1.1" 200 -
127.0.0.1 - "GET /api/templates/fresh_breakout/stocks?limit=100 HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/search?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C HTTP/1.1" 204 -
127.0.0.1 - "GET /api/search?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/bars/000001?period=1d&adjust=qfq&limit=10000 HTTP/1.1" 204 -
127.0.0.1 - "GET /api/bars/000001?period=1d&adjust=qfq&limit=10000 HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/search?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C%20000001 HTTP/1.1" 204 -
127.0.0.1 - "GET /api/search?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C%20000001 HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/templates HTTP/1.1" 204 -
127.0.0.1 - "GET /api/templates HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/templates/fresh_breakout HTTP/1.1" 204 -
127.0.0.1 - "OPTIONS /api/templates/fresh_breakout/stocks?limit=200 HTTP/1.1" 204 -
127.0.0.1 - "GET /api/templates/fresh_breakout HTTP/1.1" 200 -
127.0.0.1 - "GET /api/templates/fresh_breakout/stocks?limit=200 HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/stock/301234 HTTP/1.1" 204 -
127.0.0.1 - "OPTIONS /api/bars/301234?period=1d&adjust=qfq&limit=10000 HTTP/1.1" 204 -
127.0.0.1 - "GET /api/bars/301234?period=1d&adjust=qfq&limit=10000 HTTP/1.1" 200 -
127.0.0.1 - "GET /api/stock/301234 HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/state HTTP/1.1" 204 -
127.0.0.1 - "OPTIONS /api/state HTTP/1.1" 204 -
127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
127.0.0.1 - "POST /api/state HTTP/1.1" 200 -
127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/stock/002003 HTTP/1.1" 204 -
127.0.0.1 - "OPTIONS /api/bars/002003?period=1d&adjust=qfq&limit=10000 HTTP/1.1" 204 -
127.0.0.1 - "GET /api/stock/002003 HTTP/1.1" 200 -
127.0.0.1 - "GET /api/bars/002003?period=1d&adjust=qfq&limit=10000 HTTP/1.1" 200 -
127.0.0.1 - "GET /api/bars/002003?period=1d&adjust=qfq&limit=10000 HTTP/1.1" 500 -
127.0.0.1 - "OPTIONS /api/templates HTTP/1.1" 204 -
127.0.0.1 - "GET /api/templates HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/templates/fresh_breakout HTTP/1.1" 204 -
127.0.0.1 - "OPTIONS /api/templates/fresh_breakout/stocks?limit=100 HTTP/1.1" 204 -
127.0.0.1 - "GET /api/templates/fresh_breakout HTTP/1.1" 200 -
127.0.0.1 - "GET /api/templates/fresh_breakout/stocks?limit=100 HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/search?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C HTTP/1.1" 204 -
127.0.0.1 - "GET /api/search?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/bars/000001?period=1d&adjust=qfq&limit=10000 HTTP/1.1" 204 -
127.0.0.1 - "GET /api/bars/000001?period=1d&adjust=qfq&limit=10000 HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/search?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C%20000001 HTTP/1.1" 204 -
127.0.0.1 - "GET /api/search?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C%20000001 HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/templates HTTP/1.1" 204 -
127.0.0.1 - "GET /api/templates HTTP/1.1" 200 -
127.0.0.1 - "OPTIONS /api/templates/fresh_breakout HTTP/1.1" 204 -
127.0.0.1 - "OPTIONS /api/templates/fresh_breakout/stocks?limit=200 HTTP/1.1" 204 -
127.0.0.1 - "GET /api/templates/fresh_breakout HTTP/1.1" 200 -
127.0.0.1 - "GET /api/templates/fresh_breakout/stocks?limit=200 HTTP/1.1" 200 -
