key,label,start_date,end_date,bars,return_pct,quadratic_coefficient,quadratic_fit_r2,first_half_log_slope_bp_per_bar,second_half_log_slope_bp_per_bar,slope_delta_bp_per_bar,max_drawdown_pct,positive_bar_share,offset_in_160,eligible_stage_window,selected
candidate_000,80 根候选 1,20251031,20260303,80,0.201542,0.1125511419,0.1589378962,-69.921184,-0.091517,69.829667,-34.510153,0.4556962,0,False,False
candidate_001,80 根候选 2,20251103,20260304,80,5.701681,0.1136068763,0.1608815704,-67.960041,-2.27582,65.684221,-34.510153,0.4556962,1,False,False
candidate_002,80 根候选 3,20251104,20260305,80,14.334821,0.1122731877,0.1632004162,-64.206398,-3.61974,60.586658,-34.510153,0.46835443,2,False,False
candidate_003,80 根候选 4,20251105,20260306,80,20.674767,0.1213265041,0.1837432014,-62.819783,-3.010299,59.809484,-34.510153,0.46835443,3,False,False
candidate_004,80 根候选 5,20251106,20260309,80,13.296107,0.1326066028,0.2114596061,-62.812614,-2.874669,59.937946,-34.510153,0.46835443,4,False,False
candidate_005,80 根候选 6,20251107,20260310,80,10.411595,0.1388434749,0.2405991616,-56.462045,1.669753,58.131798,-34.510153,0.46835443,5,False,False
candidate_006,80 根候选 7,20251110,20260311,80,5.623541,0.1373646617,0.268536237,-46.350112,7.225691,53.575803,-34.510153,0.46835443,6,False,False
candidate_007,80 根候选 8,20251111,20260312,80,6.948949,0.1268113005,0.2965728658,-34.747048,11.019634,45.766682,-34.510153,0.46835443,7,False,False
candidate_008,80 根候选 9,20251112,20260313,80,9.956368,0.124341812,0.3423287166,-25.582919,16.080347,41.663266,-34.510153,0.46835443,8,False,False
candidate_009,80 根候选 10,20251113,20260316,80,20.556107,0.1219394551,0.4087814189,-14.63514,23.315914,37.951054,-34.510153,0.46835443,9,False,False
candidate_010,80 根候选 11,20251114,20260317,80,31.111111,0.1159427034,0.4773848268,-2.398717,30.79451,33.193227,-29.166667,0.48101266,10,False,False
candidate_011,80 根候选 12,20251117,20260318,80,41.62375,0.1184416806,0.5315548441,6.107788,38.417652,32.309864,-27.578764,0.49367089,11,True,False
candidate_012,80 根候选 13,20251118,20260319,80,34.02222,0.1123597364,0.5753168739,14.965247,43.174771,28.209524,-27.477153,0.49367089,12,True,False
candidate_013,80 根候选 14,20251119,20260320,80,25.713852,0.1023679078,0.6103323896,25.260577,48.132298,22.871721,-27.477153,0.48101266,13,True,False
candidate_014,80 根候选 15,20251120,20260323,80,29.717934,0.0849110561,0.647130118,39.149671,54.186197,15.036526,-22.714782,0.48101266,14,True,False
candidate_015,80 根候选 16,20251121,20260324,80,56.988909,0.0787763577,0.6782852526,50.389129,62.916695,12.527566,-20.394027,0.49367089,15,True,False
candidate_016,80 根候选 17,20251124,20260325,80,72.009536,0.0865249017,0.6954394126,58.45085,74.862207,16.411357,-20.394027,0.50632911,16,True,False
candidate_017,80 根候选 18,20251125,20260326,80,71.383335,0.0951128078,0.7102946976,65.956671,87.327028,21.370357,-20.394027,0.50632911,17,True,False
candidate_018,80 根候选 19,20251126,20260327,80,75.702784,0.1012930048,0.7253032746,73.748558,99.836453,26.087895,-20.394027,0.51898734,18,True,False
candidate_019,80 根候选 20,20251127,20260330,80,86.89887,0.1113408639,0.7386277393,79.287216,112.366796,33.07958,-20.394027,0.53164557,19,True,False
candidate_020,80 根候选 21,20251128,20260331,80,72.851296,0.1162334757,0.749782248,83.278749,121.781417,38.502668,-20.394027,0.51898734,20,True,False
candidate_021,80 根候选 22,20251201,20260401,80,73.908154,0.1153796204,0.7600267248,88.272841,130.3158,42.042959,-20.394027,0.51898734,21,True,False
candidate_022,80 根候选 23,20251202,20260402,80,73.565217,0.1128238846,0.7659212329,91.796963,137.116949,45.319985,-20.394027,0.51898734,22,True,False
candidate_023,80 根候选 24,20251203,20260403,80,71.898096,0.1102481035,0.768154727,92.597927,141.477228,48.879301,-20.394027,0.51898734,23,True,False
candidate_024,80 根候选 25,20251204,20260407,80,87.035559,0.1148038646,0.7744278526,92.608858,148.183422,55.574564,-20.394027,0.53164557,24,True,False
candidate_025,80 根候选 26,20251205,20260408,80,94.715437,0.1232895285,0.7818767511,88.324135,152.25665,63.932516,-20.394027,0.5443038,25,True,False
candidate_026,80 根候选 27,20251208,20260409,80,82.991014,0.1340007146,0.7901637638,84.210296,157.307827,73.097531,-20.394027,0.5443038,26,True,False
candidate_027,80 根候选 28,20251209,20260410,80,101.037933,0.1431592091,0.8003295511,82.300174,163.852906,81.552732,-20.394027,0.5443038,27,True,False
candidate_028,80 根候选 29,20251210,20260413,80,121.934609,0.1566112996,0.8094605312,79.048913,170.703955,91.655041,-20.394027,0.55696203,28,True,False
candidate_029,80 根候选 30,20251211,20260414,80,130.852532,0.1734108693,0.817835149,73.997459,176.903003,102.905544,-20.394027,0.56962025,29,True,False
candidate_030,80 根候选 31,20251212,20260415,80,133.69899,0.1879285834,0.8267140386,70.04008,183.011388,112.971308,-20.394027,0.58227848,30,True,False
candidate_031,80 根候选 32,20251215,20260416,80,153.476143,0.2039191886,0.8354606067,64.934773,188.313882,123.37911,-20.394027,0.59493671,31,True,False
candidate_032,80 根候选 33,20251216,20260417,80,157.760165,0.2219153706,0.845108935,57.449898,191.678592,134.228694,-20.394027,0.59493671,32,True,False
candidate_033,80 根候选 34,20251217,20260420,80,152.24724,0.2405816087,0.8556717453,49.417287,194.307084,144.889797,-20.394027,0.59493671,33,True,False
candidate_034,80 根候选 35,20251218,20260421,80,150.482587,0.2554677238,0.8651791251,43.376076,196.95165,153.575574,-20.394027,0.58227848,34,True,False
candidate_035,80 根候选 36,20251219,20260422,80,174.79919,0.2701046561,0.8745577651,38.172617,199.986511,161.813894,-20.394027,0.59493671,35,True,False
candidate_036,80 根候选 37,20251222,20260423,80,147.049887,0.2849626317,0.8854453619,29.004907,198.697667,169.69276,-20.394027,0.58227848,36,True,False
candidate_037,80 根候选 38,20251223,20260424,80,142.159117,0.2941303818,0.8927280556,21.965728,196.646493,174.680765,-20.394027,0.56962025,37,True,False
candidate_038,80 根候选 39,20251224,20260427,80,121.115206,0.301545439,0.8988539608,14.781667,193.170263,178.388596,-20.394027,0.55696203,38,True,False
candidate_039,80 根候选 40,20251225,20260428,80,128.707733,0.3017737799,0.9011068203,9.14981,187.654005,178.504194,-20.394027,0.56962025,39,True,False
