variant,window_bars,rank,ts_code,name,score,window_start,window_end,return_pct,quadratic_coefficient,quadratic_fit_r2,first_half_log_slope_bp_per_bar,second_half_log_slope_bp_per_bar,slope_delta_bp_per_bar,max_drawdown_pct
selected_80,80,1,603823.SH,百合花,0.9386545013662122,20260402,20260729,266.072718,0.0715529507,0.9524652616,173.077731,223.162085,50.084354,-32.454534
selected_80,80,2,002422.SZ,科伦药业,0.9179296050169952,20260402,20260729,20.081388,0.1904610359,0.8656915867,-0.528116,101.094677,101.622792,-16.183057
selected_80,80,3,688432.SH,有研硅,0.8913722435452878,20260402,20260729,170.343643,0.158956492,0.8827549484,108.694845,227.446731,118.751886,-36.272085
selected_80,80,4,688072.SH,拓荆科技,0.8875714904672143,20260319,20260729,110.258042,-0.0660506473,0.9054759178,106.163271,62.708321,-43.45495,-25.053823
selected_80,80,5,000759.SZ,中百集团,0.8869944491235879,20260402,20260729,28.648649,0.1010949309,0.7768325742,2.125009,54.011691,51.886682,-15.470494
selected_80,80,6,688347.SH,华虹宏力,0.8838660303668702,20260402,20260729,147.912653,-0.1491382849,0.9330966325,186.586949,113.683009,-72.90394,-32.534332
selected_80,80,7,688361.SH,中科飞测,0.8692556006730682,20260402,20260729,139.859024,0.0619774346,0.8424460058,112.747277,174.232079,61.484801,-31.605823
selected_80,80,8,000429.SZ,粤高速A,0.8629841162905002,20260402,20260729,11.95735,0.0123061704,0.7500999453,20.813339,20.240054,-0.573285,-8.763587
selected_80,80,9,688669.SH,聚石化学,0.8575477592659898,20260402,20260729,134.466403,-0.1075341955,0.8358106972,137.640089,125.877338,-11.76275,-47.130125
selected_80,80,10,002674.SZ,兴业科技,0.8512351044822838,20260402,20260729,76.414343,0.1147028828,0.7370676861,41.816915,139.235286,97.418371,-39.350728
selected_80,80,11,000100.SZ,TCL科技,0.8426340713312602,20260402,20260729,19.687551,0.0096054685,0.7003845785,10.686142,23.189897,12.503755,-21.405229
selected_80,80,12,920438.BJ,戈碧迦,0.8397896745181936,20260402,20260729,207.357415,-0.2332840579,0.8821998788,194.638018,101.373755,-93.264263,-40.515372
selected_80,80,13,601211.SH,国泰海通,0.837971992703967,20260402,20260729,16.631279,0.1257174875,0.7476934158,-29.561594,44.749454,74.311048,-12.703963
selected_80,80,14,300567.SZ,精测电子,0.8366294043540652,20260326,20260729,58.428054,-0.1160532829,0.838194407,133.206446,70.000398,-63.206048,-37.342569
selected_80,80,15,688120.SH,华海清科,0.8350689926771369,20260402,20260729,119.01305,-0.0834224996,0.8579026781,145.716526,121.931207,-23.785319,-33.729651
selected_80,80,16,603580.SH,艾艾精工,0.8343440013300342,20260325,20260729,238.807715,0.1918832831,0.7968517775,129.870096,204.00136,74.131264,-18.989314
selected_80,80,17,603065.SH,宿迁联盛,0.8328672465238784,20260402,20260729,80.453609,0.1519522488,0.7098799121,-12.621563,122.145624,134.767186,-42.438403
selected_80,80,18,002317.SZ,众生药业,0.8322527925205006,20260402,20260729,37.541158,0.0029920437,0.8099550288,82.039003,84.436955,2.397952,-21.327726
