threshold,template,template_label,days,median_count,p10_count,p90_count,share_count_0_to_5,share_count_200_plus,level_lag1_corr,ma5_lag1_corr,persistent_direction_share,max_direction_run,usable_range,persistent_intervals,template_support
0.7,fresh_breakout,刚突破,402,120.0,39.1,393.0,0.0,0.27611940298507465,0.976116059194838,0.9869294981391464,0.9772727272727273,23,True,True,True
0.7,healthy_uptrend,健康上涨,402,730.0,478.3,2776.5000000000005,0.0,0.9925373134328358,0.9981578981191985,0.9984628285099365,0.9949622166246851,65,False,True,False
0.7,pullback_strengthening,回调转强,402,850.5,304.6,2310.9,0.0,0.9850746268656716,0.9948633038464643,0.9961939161251682,0.9874055415617129,47,False,True,False
0.7,parabolic_uptrend,抛物线上升,402,1199.5,575.0,2469.7000000000007,0.0,1.0,0.9986564941243856,0.9987955911522732,0.9848101265822785,67,False,True,False
0.75,fresh_breakout,刚突破,402,68.0,22.0,230.0,0.007462686567164179,0.12935323383084577,0.9697447075643232,0.9849881542820369,0.9390862944162437,18,True,True,True
0.75,healthy_uptrend,健康上涨,402,559.5,364.3,2336.1000000000004,0.0,0.9850746268656716,0.9978476082693813,0.998262121816863,0.9949494949494949,64,False,True,False
0.75,pullback_strengthening,回调转强,402,653.5,231.1,1924.9,0.0,0.927860696517413,0.9939695058842739,0.9958334859507019,0.9848866498740554,45,False,True,False
0.75,parabolic_uptrend,抛物线上升,402,930.5,403.1,2054.6000000000004,0.0,1.0,0.9983734385049207,0.9985581661328522,0.9924050632911392,68,False,True,False
0.8,fresh_breakout,刚突破,402,31.5,9.100000000000001,112.0,0.04975124378109453,0.012437810945273632,0.9588004762004877,0.9824149916535385,0.948051948051948,16,True,True,True
0.8,healthy_uptrend,健康上涨,402,396.5,242.2,1784.8000000000002,0.0,0.927860696517413,0.9971140750087218,0.9977652753443731,0.9592875318066157,48,False,True,False
0.8,pullback_strengthening,回调转强,402,460.0,157.0,1444.9,0.0,0.818407960199005,0.9927376243101079,0.9952996623837896,0.9874055415617129,46,False,True,False
0.8,parabolic_uptrend,抛物线上升,402,649.0,260.1,1527.1000000000004,0.0,0.9701492537313433,0.9979505378153607,0.998248597159501,0.9794871794871794,50,False,True,False
