trade_date,template,threshold,eligible_count,above_count,change_1d,change_5d,ma5,historical_percentile,historical_position
20241202,fresh_breakout,0.7,5336,19,,,19.0,1.0,高位
20241203,fresh_breakout,0.7,5336,24,5.0,,21.5,1.0,高位
20241204,fresh_breakout,0.7,5335,36,12.0,,26.333333333333332,1.0,高位
20241205,fresh_breakout,0.7,5338,46,10.0,,31.25,1.0,高位
20241206,fresh_breakout,0.7,5336,49,3.0,,34.8,1.0,高位
20241209,fresh_breakout,0.7,5334,51,2.0,32.0,41.2,1.0,高位
20241210,fresh_breakout,0.7,5338,73,22.0,49.0,51.0,1.0,高位
20241211,fresh_breakout,0.7,5340,94,21.0,58.0,62.6,1.0,高位
20241212,fresh_breakout,0.7,5340,108,14.0,62.0,75.0,1.0,高位
20241213,fresh_breakout,0.7,5340,123,15.0,74.0,89.8,1.0,高位
20241216,fresh_breakout,0.7,5344,117,-6.0,66.0,103.0,0.9090909090909091,高位
20241217,fresh_breakout,0.7,5341,85,-32.0,12.0,105.4,0.6666666666666666,高位
20241218,fresh_breakout,0.7,5342,84,-1.0,-10.0,103.4,0.6153846153846154,中位
20241219,fresh_breakout,0.7,5343,59,-25.0,-49.0,93.6,0.5,中位
20241220,fresh_breakout,0.7,5346,60,1.0,-63.0,81.0,0.5333333333333333,中位
20241223,fresh_breakout,0.7,5344,62,2.0,-55.0,70.0,0.5625,中位
20241224,fresh_breakout,0.7,5344,66,4.0,-19.0,66.2,0.5882352941176471,中位
20241225,fresh_breakout,0.7,5342,50,-16.0,-34.0,59.4,0.3333333333333333,低位
20241226,fresh_breakout,0.7,5345,61,11.0,2.0,59.8,0.5263157894736842,中位
20241227,fresh_breakout,0.7,5343,69,8.0,9.0,61.6,0.65,中位
20241230,fresh_breakout,0.7,5339,77,8.0,15.0,64.6,0.7142857142857143,高位
20241231,fresh_breakout,0.7,5342,58,-19.0,-8.0,63.0,0.36363636363636365,中位
20250102,fresh_breakout,0.7,5342,50,-8.0,0.0,63.0,0.30434782608695654,低位
20250103,fresh_breakout,0.7,5344,38,-12.0,-23.0,58.4,0.16666666666666666,低位
20250106,fresh_breakout,0.7,5342,30,-8.0,-39.0,50.6,0.12,低位
20250107,fresh_breakout,0.7,5347,30,0.0,-47.0,41.2,0.15384615384615385,低位
20250108,fresh_breakout,0.7,5347,42,12.0,-16.0,38.0,0.25925925925925924,低位
20250109,fresh_breakout,0.7,5350,58,16.0,8.0,39.6,0.5,中位
20250110,fresh_breakout,0.7,5349,45,-13.0,7.0,41.0,0.27586206896551724,低位
20250113,fresh_breakout,0.7,5348,31,-14.0,1.0,41.2,0.16666666666666666,低位
20250114,fresh_breakout,0.7,5351,24,-7.0,-6.0,40.0,0.0967741935483871,低位
20250115,fresh_breakout,0.7,5351,16,-8.0,-26.0,34.8,0.03125,低位
20250116,fresh_breakout,0.7,5353,17,1.0,-41.0,26.6,0.06060606060606061,低位
20250117,fresh_breakout,0.7,5352,15,-2.0,-30.0,20.6,0.029411764705882353,低位
20250120,fresh_breakout,0.7,5352,20,5.0,-11.0,18.4,0.14285714285714285,低位
20250121,fresh_breakout,0.7,5354,22,2.0,-2.0,18.0,0.16666666666666666,低位
20250122,fresh_breakout,0.7,5356,33,11.0,17.0,21.4,0.32432432432432434,低位
20250123,fresh_breakout,0.7,5356,36,3.0,19.0,25.2,0.3684210526315789,中位
20250124,fresh_breakout,0.7,5353,37,1.0,22.0,29.6,0.38461538461538464,中位
20250127,fresh_breakout,0.7,5352,27,-10.0,7.0,31.0,0.225,低位
20250205,fresh_breakout,0.7,5355,23,-4.0,1.0,31.2,0.17073170731707318,低位
20250206,fresh_breakout,0.7,5356,32,9.0,-1.0,31.0,0.3333333333333333,低位
20250207,fresh_breakout,0.7,5357,41,9.0,5.0,32.0,0.46511627906976744,中位
20250210,fresh_breakout,0.7,5359,62,21.0,25.0,37.0,0.7727272727272727,高位
20250211,fresh_breakout,0.7,5358,86,24.0,59.0,48.8,0.9111111111111111,高位
20250212,fresh_breakout,0.7,5359,110,24.0,87.0,66.2,0.9565217391304348,高位
20250213,fresh_breakout,0.7,5360,123,13.0,91.0,84.4,1.0,高位
20250214,fresh_breakout,0.7,5359,141,18.0,100.0,104.4,1.0,高位
20250217,fresh_breakout,0.7,5365,152,11.0,90.0,122.4,1.0,高位
20250218,fresh_breakout,0.7,5364,154,2.0,68.0,136.0,1.0,高位
20250219,fresh_breakout,0.7,5364,186,32.0,76.0,151.2,1.0,高位
20250220,fresh_breakout,0.7,5364,193,7.0,70.0,165.2,1.0,高位
20250221,fresh_breakout,0.7,5368,258,65.0,117.0,188.6,1.0,高位
20250224,fresh_breakout,0.7,5365,312,54.0,160.0,220.6,1.0,高位
20250225,fresh_breakout,0.7,5363,342,30.0,188.0,258.2,1.0,高位
20250226,fresh_breakout,0.7,5364,375,33.0,189.0,296.0,1.0,高位
20250227,fresh_breakout,0.7,5363,343,-32.0,150.0,326.0,0.9824561403508771,高位
20250228,fresh_breakout,0.7,5364,282,-61.0,24.0,330.8,0.9310344827586207,高位
20250303,fresh_breakout,0.7,5361,250,-32.0,-62.0,318.4,0.8983050847457628,高位
20250304,fresh_breakout,0.7,5361,216,-34.0,-126.0,293.2,0.8833333333333333,高位
20250305,fresh_breakout,0.7,5360,184,-32.0,-191.0,255.0,0.8360655737704918,高位
20250306,fresh_breakout,0.7,5359,197,13.0,-146.0,225.8,0.8709677419354839,高位
20250307,fresh_breakout,0.7,5360,222,25.0,-60.0,213.8,0.8888888888888888,高位
20250310,fresh_breakout,0.7,5362,235,13.0,-15.0,210.8,0.890625,高位
20250311,fresh_breakout,0.7,5363,236,1.0,20.0,214.8,0.8923076923076924,高位
20250312,fresh_breakout,0.7,5363,215,-21.0,31.0,221.0,0.8333333333333334,高位
20250313,fresh_breakout,0.7,5365,208,-7.0,11.0,223.2,0.8208955223880597,高位
20250314,fresh_breakout,0.7,5366,212,4.0,-10.0,221.2,0.8235294117647058,高位
20250317,fresh_breakout,0.7,5361,193,-19.0,-42.0,212.8,0.782608695652174,高位
20250318,fresh_breakout,0.7,5368,173,-20.0,-63.0,200.2,0.7285714285714285,高位
20250319,fresh_breakout,0.7,5364,177,4.0,-38.0,192.6,0.7323943661971831,高位
20250320,fresh_breakout,0.7,5366,153,-24.0,-55.0,181.6,0.6944444444444444,高位
20250321,fresh_breakout,0.7,5368,124,-29.0,-88.0,164.0,0.6575342465753424,中位
20250324,fresh_breakout,0.7,5367,120,-4.0,-73.0,149.4,0.6216216216216216,中位
20250325,fresh_breakout,0.7,5369,126,6.0,-47.0,140.0,0.6666666666666666,高位
20250326,fresh_breakout,0.7,5370,152,26.0,-25.0,135.0,0.6973684210526315,高位
20250327,fresh_breakout,0.7,5369,140,-12.0,-13.0,132.4,0.6623376623376623,中位
20250328,fresh_breakout,0.7,5369,96,-44.0,-28.0,126.8,0.5512820512820513,中位
20250331,fresh_breakout,0.7,5371,75,-21.0,-45.0,117.8,0.4810126582278481,中位
20250401,fresh_breakout,0.7,5370,75,0.0,-51.0,107.6,0.4875,中位
20250402,fresh_breakout,0.7,5373,76,1.0,-76.0,92.4,0.49382716049382713,中位
20250403,fresh_breakout,0.7,5372,85,9.0,-55.0,81.4,0.5365853658536586,中位
20250407,fresh_breakout,0.7,5370,53,-32.0,-43.0,72.8,0.3373493975903614,中位
20250408,fresh_breakout,0.7,5370,60,7.0,-15.0,69.8,0.39285714285714285,中位
20250409,fresh_breakout,0.7,5372,70,10.0,-5.0,68.8,0.4588235294117647,中位
20250410,fresh_breakout,0.7,5374,91,21.0,15.0,71.8,0.5697674418604651,中位
20250411,fresh_breakout,0.7,5373,100,9.0,15.0,74.8,0.5977011494252874,中位
20250414,fresh_breakout,0.7,5372,125,25.0,72.0,89.2,0.6818181818181818,高位
20250415,fresh_breakout,0.7,5371,129,4.0,69.0,103.0,0.6966292134831461,高位
20250416,fresh_breakout,0.7,5374,108,-21.0,38.0,110.6,0.6,中位
20250417,fresh_breakout,0.7,5374,96,-12.0,5.0,111.6,0.5714285714285714,中位
20250418,fresh_breakout,0.7,5373,78,-18.0,-22.0,107.2,0.4891304347826087,中位
20250421,fresh_breakout,0.7,5373,72,-6.0,-53.0,96.6,0.43010752688172044,中位
20250422,fresh_breakout,0.7,5371,63,-9.0,-66.0,83.4,0.39361702127659576,中位
20250423,fresh_breakout,0.7,5373,63,0.0,-45.0,74.4,0.4,中位
20250424,fresh_breakout,0.7,5371,70,7.0,-26.0,69.2,0.4375,中位
20250425,fresh_breakout,0.7,5369,66,-4.0,-12.0,66.8,0.41237113402061853,中位
20250428,fresh_breakout,0.7,5363,51,-15.0,-21.0,62.6,0.2857142857142857,低位
20250429,fresh_breakout,0.7,5337,45,-6.0,-18.0,59.0,0.23232323232323232,低位
20250430,fresh_breakout,0.7,5336,40,-5.0,-23.0,54.4,0.2,低位
20250506,fresh_breakout,0.7,5362,40,0.0,-30.0,48.4,0.2079207920792079,低位
20250507,fresh_breakout,0.7,5364,33,-7.0,-33.0,41.8,0.1568627450980392,低位
20250508,fresh_breakout,0.7,5365,37,4.0,-14.0,39.0,0.1941747572815534,低位
20250509,fresh_breakout,0.7,5365,52,15.0,7.0,40.4,0.3269230769230769,低位
20250512,fresh_breakout,0.7,5365,64,12.0,24.0,45.2,0.4380952380952381,中位
20250513,fresh_breakout,0.7,5366,73,9.0,33.0,51.8,0.5094339622641509,中位
20250514,fresh_breakout,0.7,5366,79,6.0,46.0,61.0,0.5607476635514018,中位
20250515,fresh_breakout,0.7,5366,91,12.0,54.0,71.8,0.6111111111111112,中位
20250516,fresh_breakout,0.7,5367,108,17.0,56.0,83.0,0.6697247706422018,高位
